RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
102001,0,United States,country,,1208.6521970138049,1214.1972147094796,1220.1537028156972,1225.1027634629827,1229.5819215968959,1233.7359304214895,1238.426669786693,1243.6084040723867,1249.1038712500829,1254.5044988996724,1259.5885527670835,1264.114664578013,1267.795973460366,1271.047903454108,1273.1984369983772,1276.601430934432,1280.1793995607763,1284.9072349535365,1288.836731981589,1292.910377705857,1296.687258066184,1300.469452183535,1303.9346389219313,1307.1791614599042,1312.1086212217172,1317.6549597322185,1324.6533555418582,1329.6817150504344,1334.5987080486607,1338.49005090318,1342.6244216723173,1346.172803409606,1350.8425033653575,1354.9712278144896,1359.6426968925086,1364.3952664676137,1369.3305126455764,1374.5296084702666,1378.7712029570823,1383.4177261832954,1387.3061213911715,1391.9028522962356,1396.6208419438851,1401.8351478393138,1406.1417853165885,1411.3165417308242,1417.0611662641675,1422.7747792767857,1427.1610110052054,1430.776972095282,1435.1071977736729,1439.9257838051685,1445.4279339919563,1450.6933352131039,1455.9258634518226,1461.0425825046646,1466.3805400142542,1471.338218152909,1475.6928040320063,1480.144717602367,1485.2756199216983,1490.8189721809179,1495.2921201224847,1492.6174381892681,1487.6624249010113,1483.4233908512133,1483.6957211379438,1483.7319795520734,1484.4090556554895,1487.989747141036,1493.9581260451469,1501.5956738046136,1510.8899274609155,1521.0921980940286,1533.25280056502,1549.705742947792,1571.0629015878148,1595.4903349821514,1620.7890443659942,1647.9478520289895,1674.8507921349176,1697.8859083831653,1717.4822368655357,1734.4187256844186,1748.4152642800004,1762.6621067805197,1774.6035501675913,1790.7849506517143,1805.6703587002303,1821.4298684594032,1833.2739499166275,1841.887833499692,1847.9189861069626,1852.4355737186559,1856.7653390735156,1862.4644960671988,1868.1087665372243,1873.3488015080586,1880.4081883532265,1885.2635399633784,1890.2260443772136,1891.9879192247429,1895.7774849093971,1900.2279904056986,1905.2828919586027,1911.3619573533945,1916.6433412027168,1923.886210808273,1931.6676609900567,1938.8190108778697,1944.7972962543429,1949.0438711420347,1952.4140228228516,1956.788016306742,1960.9544037168173,1965.5305674149135,1970.6499957357325,1976.1146997963829,1982.5184680973055
394913,1,"New York, NY",msa,NY,2266.2738226637734,2281.546828389712,2294.4741127202424,2304.6959268837445,2308.650001717103,2312.886623350446,2317.2506810671007,2325.602731173872,2333.7741870937757,2342.035560671579,2346.6866267847204,2351.8255763379757,2355.0356921103507,2358.38522648394,2359.066713303803,2360.407301756896,2363.0109338211378,2366.56702441788,2372.4358996602286,2375.2790529103604,2379.8021761259397,2384.2734855610593,2393.3616614182233,2396.721483086474,2399.8177382353865,2399.620485684008,2403.6779189278723,2406.241025820554,2411.610214549043,2414.3467970228326,2417.6701687270797,2418.931658395988,2421.760749766156,2421.2758841985633,2421.1624492374244,2423.268834892176,2428.130909477145,2433.552705329975,2437.7400388838532,2445.452596275018,2450.0819444611348,2454.715675116909,2458.9127942251334,2467.0367604531357,2473.867380717938,2478.4048347889507,2484.7998257873387,2490.170727662975,2497.213529104383,2502.780351751746,2509.162158092436,2513.772424341936,2519.620087635847,2526.830580702609,2533.963510045718,2539.8587469982676,2545.997505192164,2555.822012338412,2563.5641780416527,2572.5118598940985,2579.292274144265,2587.9993681721676,,,,,,,,2353.6340672971182,2340.591255754086,2340.1424517290466,2343.2515358136193,2350.6958762130553,2361.9373737022884,2380.3779021446576,2410.3867074536556,2449.105263387604,2496.157784087503,2553.5598957962848,2612.4643776407174,2665.257995043945,2711.701547142641,2750.5884338960896,2781.9077189135824,2809.011776924972,2834.0499511469925,2861.0822874763426,2892.199247693772,2925.2778443122143,2957.4445016306927,2982.1927949924725,2998.539985288185,3005.5850426528928,3007.9397485707655,3013.0368831044016,3020.231298288492,3028.783679596516,3040.3343228848867,3055.8665217201683,3067.0851250215615,3075.315344643725,3081.1814097679553,3088.659748665527,3100.5315224182427,3109.879383557239,3115.3453752487294,3131.0854936377596,3147.535191703292,3163.119764756103,3175.809034098952,3182.082203103275,3186.456300675123,3189.7553430158027,3193.0140723889767,3196.249867008225,3199.4222618075423,3209.4870489649393,3224.9689851141034
753899,2,"Los Angeles, CA",msa,CA,1820.2216914300673,1830.348273351329,1841.3241121549052,1851.0347026840636,1858.7194263659514,1867.199606854285,1877.5223265435916,1888.8052209169355,1901.227245552342,1912.214717566427,1924.1642815119053,1935.919229047258,1946.0520670091437,1954.6286443050824,1960.9562609328648,1967.487866520672,1976.4101103459068,1986.622707315875,1996.993225088712,2004.5499682270242,2012.8658102468564,2020.4375051743511,2028.9047598719603,2036.8708022917688,2049.713959028335,2062.469498183718,2078.219397759923,2089.5395213062666,2099.4382090309987,2106.3034350031658,2113.660650520809,2120.0288893610627,2128.6509283917867,2136.0433180285304,2145.8182927195016,2153.9379431129287,2163.9909791290065,2173.876048300107,2180.052539290648,2186.722943787553,2191.492824133067,2200.964308834575,2209.265341473472,2219.3069203551763,2226.6964016126676,2235.6333330379407,2244.517652437554,2253.377342687416,2257.9764458382783,2262.411589058474,2268.8199421210584,2276.92954709301,2286.569695946617,2293.520222264802,2300.7341165204953,2307.389525149851,2314.4415715258165,2320.8527280368303,2325.6360273416767,2331.1929741595563,2337.8892491440765,2344.6663512415203,2340.3903493179823,,2320.7388694206993,2311.2708138508574,2305.4298226377464,2298.645402552598,2296.4552986187987,2300.897856500391,2308.67091543405,2314.3863057468193,2323.8294100242865,2333.2678283922614,2347.130128553553,2361.011831819211,2382.4620454573505,2413.25429996566,2451.890036965814,2496.978686833871,2537.0161537474846,2568.730186387259,2594.169122171852,2620.580537972791,2643.4552233475256,2668.857402773963,2690.2503014074337,2719.870093819678,2743.178287674298,2762.6005312741704,2773.2338623290702,2780.1112350753033,2785.4115565329944,2788.3840406750696,2793.7117683986608,2799.046012339305,2802.474495083616,2805.7087331821062,2812.0542324694648,2819.4888078802733,2823.454897120942,2825.3986584733466,2829.503071035259,2836.838737785794,2841.6807636675157,2848.847797806781,2851.071218728612,2859.182315901702,2869.086817210833,2877.4051294363403,2884.069880210837,2885.637644332579,2891.0335469768556,2897.4920641313524,2904.5577295747576,2909.448860795572,2917.889049921999,2927.0803603581453,2939.907217215298
394463,3,"Chicago, IL",msa,IL,1359.1385759655313,1360.259119730525,1364.1017191654082,1367.8432954145637,1372.5385973873658,1375.407662708476,1378.0584261823453,1381.9317579165886,1385.3991865579826,1389.985139866606,1394.3233090773792,1399.462051932384,1403.016341156105,1405.619794835957,1407.6163072317524,1408.5737793950798,1409.7943541081222,1412.7426409221107,1417.6666723389178,1423.692501996105,1426.1296434537414,1428.7035630840176,1428.2830559990216,1428.1029160433523,1429.98495389002,1435.9618850391798,1443.7469800835183,1449.5079529009793,1453.8820808039325,1455.2209488347437,1456.2470585197307,1455.4259391413073,1459.3682127806487,1461.1714143994955,1465.4525383980315,1468.2359626913465,1471.7617139521578,1475.174171100754,1476.894907039806,1479.546540564096,1481.9662386820673,1486.5925425804458,1490.7675658632897,1493.6141781820438,1494.0657197913154,1495.6180961586103,1499.2752128564466,1506.1333457514072,1510.2977144787762,1512.7574416915877,1515.2013380865326,1518.2060528448178,1522.0888892650835,1525.4901158129535,1529.1042542447012,1534.4488044650063,1540.1114759880795,1545.9687262515854,1549.6606846185755,1551.610920920894,1555.008014476062,1559.084702319189,1563.1541578903434,1555.020680597854,1545.5436759178301,1537.3828092304007,1534.0307952155815,1531.3868503277972,1526.8384790871914,1520.5483714102638,1516.2786192460485,1515.9644679303296,1516.3045774131715,1521.0933882825564,1527.7225755305744,1543.306292526955,1559.4413948546833,1577.1755017891778,1592.0701565909333,1607.0591660615248,1623.1791691024443,1637.8590910684159,1652.4382606195593,1665.091852742252,1677.2367336342945,1686.6010265443654,1696.8731058269059,1708.9791387663904,1722.7375832136036,1734.0275968412718,1746.2345722627326,1756.3007142229167,1767.0889955685793,1777.9972618098352,1787.328951339934,1795.7829925981816,1802.9144402510487,1811.3439803202816,1820.9152504608908,1827.2367633893675,1835.797884198862,1844.3152989657722,1853.2952410575895,1862.7198943121316,1869.6572902350426,1875.2188277825396,1879.7784446379562,1889.5206292627038,1900.2897558311463,1910.4705655920222,1918.9083211749055,1927.2092627803297,1932.8900745956835,1939.5989382607786,1946.1271532426751,1953.522039618294,1962.4270604838491,1972.802980709665,1984.738890658009
394514,4,"Dallas, TX",msa,TX,1097.2584074728293,1101.269624390292,1105.1521455274958,1112.2393356392104,1117.0654521507859,1122.2379638902655,1126.2654466267238,1130.942841926347,1136.0745882584065,1141.154727165858,1146.7474492412305,1151.989050403933,1155.4887119640503,1160.1279631746147,1164.2119040087252,1169.7154181857456,1173.106064179527,1177.2092604463085,1180.827779845547,1185.975860857857,1190.9645722419425,1196.3544747168935,1200.2209524643397,1203.9451163746921,1209.8883392871319,1214.6578788212105,1222.252560292102,1226.506675873954,1234.3849626190392,1237.702462850573,1242.1925715014322,1245.3154494736054,1249.2576234029118,1251.53957227493,1256.6954580355566,1261.1794143432612,1266.6635234465832,1271.0885215576648,1272.5704415306607,1275.2275058831026,1275.8678097636484,1281.0664269523074,1285.0556486688124,1289.0105696380226,1291.5681205357464,1297.497386550064,1302.3354265149665,1308.9921013867308,1311.955845428846,1314.56533478405,1319.3320908839253,1324.305335556443,1329.4150976046822,1332.9368097050651,1336.7999488239216,1340.835236717231,1345.3938739728012,1347.890242339089,1349.9594927487926,1350.8236745625168,1353.4505688700272,1356.8959060997142,1363.8780820892157,1361.704782499667,1357.3285045660932,1352.2858962834616,1351.8258976990667,1353.5626134568543,1358.3310425398292,1366.2956808909605,1374.0276894152896,1383.8885882626525,1392.6844204031459,1403.429626408401,1412.7567044733519,1429.139317796605,1449.552483356263,1474.6739922499733,1501.2518865640593,1529.3167120510875,1556.034425262208,1578.1054000997287,1598.7146626479757,1616.8483150294308,1632.2972718759722,1645.297106430107,1655.368427097145,1671.1941256812138,1686.8631245400177,1706.360183881213,1718.1024595930746,1722.759515176817,1722.575299239547,1718.8849060312477,1718.2880117990621,1718.637256996849,1722.6389248425348,1726.7920155121683,1733.648249783774,1733.2218958118985,1732.827672196108,1727.8893266749733,1727.2123718962882,1726.1585769258513,1726.302413048039,1728.586078928909,1731.1616668453466,1733.8073373271427,1734.3387268811982,1734.652158801006,1733.9420534398632,1733.826196968688,1732.4087293675304,1731.0978486576844,1729.4440560190078,1730.5688966087266,1732.7490738323327,1735.2575358742615,1735.8156409653313
394692,5,"Houston, TX",msa,TX,1232.5813756792445,1235.1129213804595,1240.105431334217,1242.2597883444423,1244.2940856572372,1246.1712197006914,1248.9147368712913,1252.7856750720814,1254.1521698381866,1255.2839347180898,1256.329030996289,1257.1957273662201,1259.597984130865,1260.21602532467,1263.0367336104184,1261.863525584928,1259.5076310663208,1257.5092009847751,1258.2848186564906,1259.6858115514087,1257.6720070470367,1256.4566304165962,1253.4643744506304,1253.6873159501833,1254.9857477520954,1260.681994655713,1265.8285046496221,1267.0688904571625,1270.4997579834367,1270.2483420633873,1272.106937452573,1271.237090465656,1281.813295307222,1291.693146914864,1303.8461622447323,1310.460976642164,1314.4322229427685,1318.228569594973,1316.8035779075458,1320.7208944976978,1319.9169159058083,1323.4793947930116,1324.4608884228257,1327.5026015432222,1327.330424844719,1329.1632042892916,1331.573841309171,1332.494033736576,1334.0175225296591,1331.5101393884127,1335.6270773220147,1338.4673878279232,1344.0552596642424,1348.0001316320577,1352.2803806919915,1356.1733053480643,1357.67811533873,1358.022365702,1357.3981221752852,1360.2047940842754,1363.790882410964,1369.837591744564,1376.1940700368218,1372.5905173561634,1363.2271276185038,1353.9111985985405,1353.4178831904878,1356.2629524739946,1360.4223101070306,1366.0655127843754,1372.1504799148813,1376.6752385608218,1380.8354898560924,1382.4038788602454,1388.3440932816839,1399.8803501526818,1418.4970088524724,1440.9452783885138,1460.6189053626665,1480.8045606822013,1497.7707948817595,1510.9703270989312,1521.954148317719,1530.8257649130396,1539.6768295056172,1549.5048648021418,1557.2555218988969,1567.9333101999002,1575.4428823010046,1584.4296554773152,1590.9270839122141,1595.4453838312381,1597.854544764374,1599.4968556084327,1601.646905598114,1605.5480116666276,1610.4106244844397,1616.7128095407181,1624.942645813078,1627.172615283412,1630.856959176307,1631.610893951622,1634.5169658966374,1635.3797599531708,1636.1207742510835,1638.255300712852,1642.608627141765,1647.5180809509905,1651.572747801704,1654.2763426022732,1655.5323419320825,1658.7237669577107,1660.941763613886,1663.8444390344778,1666.7470302058412,1672.0056055143345,1679.057497595011,1686.148939712975,1691.7041043179786
395209,6,"Washington, DC",msa,VA,1718.0117527715197,1722.5319589124456,1726.927916403414,1728.6633655190815,1731.3043936482406,1732.5179525408073,1734.3922325666836,1734.8588801044996,1739.4823534058642,1743.6320908660434,1750.0559158639712,1753.4349813381534,1756.1719643567471,1755.9781043934502,1756.416229785946,1757.6486471224719,1760.6197548218897,1762.3307147620023,1764.8712870874247,1768.5724512951742,1770.733250685648,1773.5772373263978,1774.9538377578683,1778.2341328135867,1782.8417741661015,1790.382172204207,1796.8141043127937,1800.954102630531,1801.563179462964,1804.5266950204214,1806.7185154625688,1809.1064072535469,1813.0704957974065,1816.6892415191203,1818.1088331817843,1819.1563156712234,1820.7966472222672,1824.0813537745835,1829.2539935312143,1834.1460428546393,1839.7020880405607,1843.9643697064898,1848.9724759661965,1855.4282019756333,1857.2890253045125,1863.6460373969292,1872.443950796501,1881.1677732625146,1883.961064567074,1886.1509993382056,1888.7756351079634,1892.7776218664824,1897.7508798329484,1902.9908083024502,1907.9105949535438,1911.4773194863935,1918.075175267201,1921.2705922630078,1923.9402044350652,1926.6054987384514,1933.3832686465544,1939.3823608796877,1947.1478006689215,1940.9774050579713,1930.6921041926864,1916.2471411550418,1906.9696182016146,1899.9277771264065,1891.8686175979733,1886.2422499887675,1880.646556220255,1879.6992390940634,1883.8296616950743,1889.494664404215,1893.8360426354693,1903.40906472875,1922.058081063879,1949.4050971777822,1976.1860948849176,2002.8998951263366,2027.162643074858,2051.1596286036392,2070.4772274398915,2084.305077804349,2090.228567500715,2098.097254168766,2107.5827776744954,2123.796773436036,2138.5711298621122,2153.0441892318436,2165.582940330541,2173.1350828715235,2179.046265790187,2178.6575311232727,2180.370619287041,2184.6005644052625,2192.7427420640747,2201.0193015888462,2212.003397045734,2217.926432226832,2224.3949154560437,2225.077459271702,2230.356462843502,2237.4934584609045,2246.8708852662944,2259.4597357177063,2269.6564652841685,2282.7961419242097,2295.3005386872264,2306.1033751730783,2314.07381021503,2321.5471089545267,2327.373526315407,2336.1318956990667,2342.3602937655055,2349.6250494631013,2356.4801466926488,2363.722117968662,2372.4783579569744
394974,7,"Philadelphia, PA",msa,PA,1237.7087455284293,1241.2427764275842,1248.0179200803889,1250.8648847876034,1253.5562562649131,1254.0886951321327,1257.3373088884582,1260.2214208290368,1264.1095260537031,1267.7010065871166,1267.8980693313274,1268.5688518534923,1268.4446959712086,1273.4473405484152,1275.8178029925614,1280.047103189402,1283.1099600370715,1289.06555712827,1292.082532541008,1294.4581100980213,1296.0768370161143,1298.542727223259,1304.7501412974,1308.465641100861,1312.7490424673654,1314.4906406077982,1318.3231968659982,1321.2452052849553,1323.929400420604,1324.1543005942206,1326.9406951562373,1330.70562438948,1335.6319558100702,1338.8731919870884,1340.8232595858724,1346.6317938806385,1350.1397177173324,1354.1425242353662,1356.6796624653807,1360.6767902198108,1366.2261584042578,1369.1201394567383,1372.1029990287568,1375.380399497528,1380.315047043781,1386.3486335631417,1393.0775891853566,1395.5888663011378,1400.4472863945066,1402.8883755742202,1408.0869478706877,1412.4094346282782,1415.989030263239,1422.4082891953383,1428.0992056146029,1433.3088022236009,1436.8678935949365,1440.3275686345653,1443.3282052824404,1448.2986205401564,1452.6537331766183,1459.1287258973662,1463.6438673387424,1463.4952976650804,1460.1955189580485,1458.0667437072445,1461.5473910974595,1463.4799505473768,1468.542965966006,1472.5741638569195,1478.5670782212467,1483.38723120588,1489.6032837322762,1494.8784908643577,1500.0781097530264,1511.9475026886432,1529.5050452605942,1547.0854205104602,1562.7336786910155,1579.960320584669,1593.3428651806855,1608.9410322939304,1622.5464161819093,1642.9058862180452,1655.2806459422675,1666.2678897909145,1673.6090277569385,1684.1650882688398,1693.9089676143703,1705.274983771057,1714.0276063398128,1719.9281907056434,1723.8830417215115,1724.4099510870433,1727.4381391951852,1729.2369086866036,1736.0115299070824,1738.459319144074,1746.6374437688105,1751.9423559535667,1758.7973674107072,1760.3857893342856,1764.7977669633472,1770.2794357474882,1779.8975101125827,1787.217306711001,1792.9955145585138,1798.198201800529,1803.0575723941504,1811.7835407868188,1817.7640665479926,1822.7937594062882,1825.6668200007127,1831.6859911481497,1836.9374045038712,1842.3011006958877,1845.936021473878,1852.3848865353175,1858.912811313273
394856,8,"Miami, FL",msa,FL,1491.7847115816678,1500.5604932068352,1507.7225206882738,1515.702913578379,1523.1565669843953,1530.8925448172333,1537.6315972324214,1544.1162002816156,1552.146752844053,1558.5436207796304,1567.6708816928135,1573.536513507257,1579.7649254672026,1583.0080298990072,1586.9677163560893,1588.7607766606861,1588.5335973060655,1587.9397393786057,1588.8973937524324,1590.5856169320728,1592.874620014301,1594.8349974186362,1597.9175892679805,1600.498492490183,1606.5069862147081,1611.6875382781843,1619.5284792453474,1623.1827726698527,1626.1059539827388,1629.3658778971867,1633.6355637292024,1639.7454787683173,1644.5455111427752,1648.1394099529555,1648.3999338512708,1650.6385140837044,1654.8323038818046,1660.2986939122563,1664.5562161620437,1669.3272806415619,1674.2361958464285,1680.1041799498794,1685.3610347714593,1690.5879273239084,1693.9801440054741,1698.1834870032008,1703.0003264466166,1708.740938027338,1711.5110243177255,1713.1673237294287,1715.2183600196233,1719.5557813261255,1724.774135971523,1729.325293386404,1733.749719876074,1737.3093535394214,1742.9527144611136,1748.860206094715,1755.8620197474318,1761.6276031831987,1768.3115587756065,1775.824862601209,1777.8512685744822,1773.8806403705246,1766.4536350972903,1764.5060021084782,1764.7556822251915,1767.2677733375015,1771.4998074283546,1784.3380265694793,1800.7989896830413,1816.6454303584708,1835.3861871386614,1861.4936916726838,1892.1075845516666,1928.2548663515888,1969.7488781047416,2019.4565423268475,2080.1020504803178,2142.94048339081,2201.6195362176145,2248.5401857254205,2293.781941946154,2343.2488995140498,2391.143189790098,2429.088577323388,2467.0575648402437,2506.4293967860713,2545.5830936311545,2570.893544315046,2585.751116409826,2591.811840483576,2599.373524494081,2604.9310334588345,2613.0710081936245,2621.8550626350825,2627.9544657240485,2632.1222974086363,2634.7921955167194,2638.4362874867325,2644.545013699182,2649.375340578195,2652.3779378342447,2656.5440321026745,2660.9177648635055,2672.2635932314106,2679.5483923125,2683.818812679839,2688.8168549642905,2697.0830533457947,2704.0217193764706,2706.997926219728,2705.7718302308976,2708.9512365079086,2714.6580935039165,2722.0202770303385,2728.2777441836797,2731.3255312230485,2735.1223455478557
394347,9,"Atlanta, GA",msa,GA,1034.0910565971174,1039.1824887893922,1041.7382613235498,1048.0035126050539,1051.7397216456918,1058.9373727864097,1063.1579195233344,1068.1356930046077,1073.286005489188,1078.73111698106,1083.3026610571067,1088.5520623724751,1093.914881934632,1099.9144162999485,1105.1071622988943,1108.2717975104506,1112.5741646118731,1117.0094168776584,1123.7730391998466,1129.859568009275,1134.9928640049839,1140.6331856795425,1145.1340634269804,1149.9628535225008,1155.1241510149002,1161.582352743077,1169.6742063554104,1176.8352226069499,1184.7451762436256,1191.4264683069284,1199.002584710559,1205.0113134124663,1212.186558113965,1214.8412392313937,1221.0543223609793,1225.5753020274758,1233.4673297232414,1239.4077765912818,1245.7428070560388,1252.9773335219963,1259.4289223871351,1265.1123065501533,1270.4221355574232,1275.7595511719624,1280.7372077879184,1291.1202290579588,1301.0739706481495,1310.173848831979,1316.070609493897,1321.2946608686816,1326.884081942546,1332.4977804331822,1338.1344347790134,1344.8243029819096,1350.8268377948664,1357.623155692798,1364.1296611497603,1368.3698975411235,1371.1744610215512,1375.2548314561311,1379.793269716591,1385.3520124245674,1392.4294263301124,1393.9689884278064,1394.4111775822175,1396.1758409281756,1404.066125954116,1412.246544903229,1422.050913164987,1433.8240242542638,1448.208229686335,1462.6956500081083,1479.435222031509,1497.5458791215074,1515.5586863957726,1537.7424509043153,1563.2359988671853,1595.2831821377813,1626.8014338181083,1661.8798517095972,1692.298092055474,1719.1322260041288,1738.1306622023021,1751.9066492560758,1760.5966292474573,1767.1557825488444,1776.7151748938559,1787.972183783821,1802.3627393992876,1815.7703321326703,1829.1921621889264,1836.0334730353163,1838.8435738005808,1838.6047475169285,1841.5101812352623,1847.8814588047935,1850.0464162062044,1852.1786232126447,1857.7270284573183,1861.5806246704426,1861.8657889197082,1855.842907644516,1852.5144464092896,1851.412690960336,1850.1574279083684,1849.870705170069,1849.3403503071486,1851.1088687896147,1857.1042349881718,1863.0052275466044,1864.2327053227327,1864.445827590981,1864.6832004833448,1868.3871780884078,1869.9093088132022,1872.0759994586188,1877.1693821194422,1883.5409569763297,1889.9902924211653
